Pathogen,Date,CT_value
Influenza A virus,2024-12-12,37.3
Influenza A virus,2024-12-25,35.9
Influenza A virus,2025-01-02,33.8
Influenza A virus,2025-01-08,37.5
Influenza A virus,2025-01-13,35.6
Influenza A virus,2025-01-20,34.6
Influenza A virus,2025-01-27,34.9
Influenza A virus,2025-02-03,35.4
Influenza A virus,2025-02-10,34.5
Influenza A virus,2025-02-17,35
Influenza A virus,2025-02-20,33.8
Influenza A virus,2025-02-24,35.3
Influenza A virus,2025-03-10,36.5
Influenza A virus,2025-03-17,39.3
Influenza A virus,2025-03-24,45
Influenza A virus,2025-03-31,37.4
Influenza A virus,2025-04-02,39.2
Influenza A virus,2025-04-09,39.2
Influenza A virus,2025-04-16,39.6
Influenza A virus,2025-04-21,45
Influenza A virus,2025-04-28,45
Influenza A virus,2025-05-07,45
Influenza A virus,2025-05-15,45
Influenza A virus,2025-05-22,45
Influenza A virus,2025-05-28,45
Influenza A virus,2025-06-01,45
Influenza A virus,2025-06-09,45
Influenza A virus,2025-06-16,45
Influenza A virus,2025-06-23,45
Influenza A virus,2025-06-30,45
Influenza A virus,2025-07-09,45
Influenza A virus,2025-07-14,45
Influenza A virus,2025-07-21,45
Influenza A virus,2025-07-28,45
Influenza A virus,2025-08-04,45
Influenza A virus,2025-08-13,45
Influenza A virus,2025-08-20,45
Influenza A virus,2025-08-27,45
Influenza A virus,2025-09-10,45
Influenza A virus,2025-09-18,45
Influenza A virus,2025-09-29,45
Influenza A virus,2025-10-07,45
Influenza A virus,2025-10-13,41
Influenza A virus,2025-10-16,45
Influenza A virus,2025-10-22,45
Influenza A virus,2025-10-27,45
Influenza A virus,2025-11-04,37
Influenza A virus,2025-11-10,45
Influenza A virus,2025-11-17,39.2
Influenza A virus,2025-11-26,39.2
Influenza A virus,2025-12-03,45
Influenza A virus,2025-12-08,37.8
Influenza A virus,2025-12-13,39.8
Influenza A virus,2025-12-15,39
Influenza A virus,2025-12-22,35.6
Influenza A virus,2025-12-31,35.7
Influenza A virus,2026-01-06,34.7
Influenza A virus,2026-01-12,34.6
