sample_ID,date,match,date_parsed,sample_type
SA_1,17/12/2024,1,2024-12-17,Indoor Air
SA_2,24/12/2024,2,2024-12-24,Indoor Air
SA_3,31/12/2024,3,2024-12-31,Indoor Air
SA_4,07/01/2025,4,2025-01-07,Indoor Air
SA_5,14/01/2025,5,2025-01-14,Indoor Air
SA_6,21/01/2025,6,2025-01-21,Indoor Air
SA_7,28/01/2025,7,2025-01-28,Indoor Air
SA_8,04/02/2025,8,2025-02-04,Indoor Air
SA_9,11/02/2025,9,2025-02-11,Indoor Air
SA_10,18/02/2025,10,2025-02-18,Indoor Air
SA_11,25/02/2025,11,2025-02-25,Indoor Air
SA_12,04/03/2025,12,2025-03-04,Indoor Air
SA_13,18/03/2025,14,2025-03-18,Indoor Air
SA_14,25/03/2025,15,2025-03-25,Indoor Air
SA_15,01/04/2025,16,2025-04-01,Indoor Air
SA_16,08/04/2025,17,2025-04-08,Indoor Air
SA_17,15/04/2025,18,2025-04-15,Indoor Air
SA_18,22/04/2025,19,2025-04-22,Indoor Air
SA_19,29/04/2025,20,2025-04-29,Indoor Air
W147,17/12/2024,1,2024-12-17,Wastewater
W148,23/12/2024,2,2024-12-23,Wastewater
W149,31/12/2024,3,2024-12-31,Wastewater
W150,08/01/2025,4,2025-01-08,Wastewater
W151,13/01/2025,5,2025-01-13,Wastewater
W152,20/01/2025,6,2025-01-20,Wastewater
W153,27/01/2025,7,2025-01-27,Wastewater
W154,03/02/2025,8,2025-02-03,Wastewater
W155,10/02/2025,9,2025-02-10,Wastewater
W156,17/02/2025,10,2025-02-17,Wastewater
W157,24/02/2025,11,2025-02-24,Wastewater
W158,03/03/2025,12,2025-03-03,Wastewater
W160,17/03/2025,14,2025-03-17,Wastewater
W161,24/03/2025,15,2025-03-24,Wastewater
W162,31/03/2025,16,2025-03-31,Wastewater
W163,07/04/2025,17,2025-04-07,Wastewater
W164,16/04/2025,18,2025-04-16,Wastewater
W165,23/04/2025,19,2025-04-23,Wastewater
W166,05/05/2025,20,2025-05-05,Wastewater
