read_count,sample_ID,subtype
1,NC_156_167,156_167/NC_156_167_H3N2
10117,SA_10_10,10_10/SA_10_10_ambiguous
32625,SA_10_10,10_10/SA_10_10_H1N1
14,SA_10_10,10_10/SA_10_10_H1N2
1,SA_10_10,10_10/SA_10_10_H1N8
4777,SA_10_10,10_10/SA_10_10_H3N2
10067,SA_10_11,10_11/SA_10_11_ambiguous
32724,SA_10_11,10_11/SA_10_11_H1N1
8,SA_10_11,10_11/SA_10_11_H1N2
4772,SA_10_11,10_11/SA_10_11_H3N2
10027,SA_10_12,10_12/SA_10_12_ambiguous
32905,SA_10_12,10_12/SA_10_12_H1N1
8,SA_10_12,10_12/SA_10_12_H1N2
4785,SA_10_12,10_12/SA_10_12_H3N2
10150,SA_10_13,10_13/SA_10_13_ambiguous
33118,SA_10_13,10_13/SA_10_13_H1N1
4,SA_10_13,10_13/SA_10_13_H1N2
4965,SA_10_13,10_13/SA_10_13_H3N2
10091,SA_10_14,10_14/SA_10_14_ambiguous
1,SA_10_14,10_14/SA_10_14_H11N9
33422,SA_10_14,10_14/SA_10_14_H1N1
10,SA_10_14,10_14/SA_10_14_H1N2
1,SA_10_14,10_14/SA_10_14_H3N1
5168,SA_10_14,10_14/SA_10_14_H3N2
1,SA_10_14,10_14/SA_10_14_H4N6
10067,SA_10_15,10_15/SA_10_15_ambiguous
34072,SA_10_15,10_15/SA_10_15_H1N1
13,SA_10_15,10_15/SA_10_15_H1N2
1,SA_10_15,10_15/SA_10_15_H2N2
5055,SA_10_15,10_15/SA_10_15_H3N2
9811,SA_10_16,10_16/SA_10_16_ambiguous
31269,SA_10_16,10_16/SA_10_16_H1N1
2,SA_10_16,10_16/SA_10_16_H1N2
4704,SA_10_16,10_16/SA_10_16_H3N2
10156,SA_10_17,10_17/SA_10_17_ambiguous
31301,SA_10_17,10_17/SA_10_17_H1N1
11,SA_10_17,10_17/SA_10_17_H1N2
4733,SA_10_17,10_17/SA_10_17_H3N2
1,SA_10_17,10_17/SA_10_17_H5N1
1,SA_10_17,10_17/SA_10_17_H6N1
10021,SA_10_18,10_18/SA_10_18_ambiguous
31540,SA_10_18,10_18/SA_10_18_H1N1
11,SA_10_18,10_18/SA_10_18_H1N2
4738,SA_10_18,10_18/SA_10_18_H3N2
1,SA_10_18,10_18/SA_10_18_H5N1
10127,SA_10_19,10_19/SA_10_19_ambiguous
31734,SA_10_19,10_19/SA_10_19_H1N1
3,SA_10_19,10_19/SA_10_19_H1N2
4615,SA_10_19,10_19/SA_10_19_H3N2
1,SA_10_19,10_19/SA_10_19_H4N6
9836,SA_10_1,10_1/SA_10_1_ambiguous
31227,SA_10_1,10_1/SA_10_1_H1N1
6,SA_10_1,10_1/SA_10_1_H1N2
4833,SA_10_1,10_1/SA_10_1_H3N2
1,SA_10_1,10_1/SA_10_1_H5N1
9844,SA_10_20,10_20/SA_10_20_ambiguous
31330,SA_10_20,10_20/SA_10_20_H1N1
5,SA_10_20,10_20/SA_10_20_H1N2
1,SA_10_20,10_20/SA_10_20_H2N2
1,SA_10_20,10_20/SA_10_20_H3N1
4662,SA_10_20,10_20/SA_10_20_H3N2
1,SA_10_20,10_20/SA_10_20_H5N1
1,SA_10_20,10_20/SA_10_20_H7N7
10130,SA_10_21,10_21/SA_10_21_ambiguous
32020,SA_10_21,10_21/SA_10_21_H1N1
