date,pathogen,group,amount
2022-10-02,Influenza A virus,Influenzavirussen,0
2022-10-09,Influenza A virus,Influenzavirussen,0
2022-10-16,Influenza A virus,Influenzavirussen,1
2022-10-23,Influenza A virus,Influenzavirussen,0
2022-10-30,Influenza A virus,Influenzavirussen,0
2022-11-06,Influenza A virus,Influenzavirussen,0
2022-11-13,Influenza A virus,Influenzavirussen,2
2022-11-20,Influenza A virus,Influenzavirussen,2
2022-11-27,Influenza A virus,Influenzavirussen,3
2022-12-04,Influenza A virus,Influenzavirussen,5
2022-12-11,Influenza A virus,Influenzavirussen,37
2022-12-18,Influenza A virus,Influenzavirussen,39
2022-12-25,Influenza A virus,Influenzavirussen,36
2023-01-01,Influenza A virus,Influenzavirussen,27
2023-01-08,Influenza A virus,Influenzavirussen,9
2023-01-15,Influenza A virus,Influenzavirussen,12
2023-01-22,Influenza A virus,Influenzavirussen,11
2023-01-29,Influenza A virus,Influenzavirussen,22
2023-02-05,Influenza A virus,Influenzavirussen,13
2023-02-12,Influenza A virus,Influenzavirussen,24
2023-02-19,Influenza A virus,Influenzavirussen,14
2023-02-26,Influenza A virus,Influenzavirussen,10
2023-03-05,Influenza A virus,Influenzavirussen,6
2023-03-12,Influenza A virus,Influenzavirussen,5
2023-03-19,Influenza A virus,Influenzavirussen,2
2023-03-26,Influenza A virus,Influenzavirussen,9
2023-04-02,Influenza A virus,Influenzavirussen,1
2023-04-09,Influenza A virus,Influenzavirussen,5
2023-04-16,Influenza A virus,Influenzavirussen,2
2023-04-23,Influenza A virus,Influenzavirussen,0
2023-04-30,Influenza A virus,Influenzavirussen,1
2023-05-07,Influenza A virus,Influenzavirussen,0
2023-05-14,Influenza A virus,Influenzavirussen,1
2023-05-21,Influenza A virus,Influenzavirussen,0
2023-05-28,Influenza A virus,Influenzavirussen,0
2023-06-04,Influenza A virus,Influenzavirussen,0
2023-06-11,Influenza A virus,Influenzavirussen,0
2023-06-18,Influenza A virus,Influenzavirussen,0
2023-06-25,Influenza A virus,Influenzavirussen,0
2023-07-02,Influenza A virus,Influenzavirussen,0
2023-07-09,Influenza A virus,Influenzavirussen,0
2023-07-16,Influenza A virus,Influenzavirussen,0
2023-07-23,Influenza A virus,Influenzavirussen,0
2023-07-30,Influenza A virus,Influenzavirussen,0
2023-08-06,Influenza A virus,Influenzavirussen,0
2023-08-13,Influenza A virus,Influenzavirussen,0
2023-08-20,Influenza A virus,Influenzavirussen,0
2023-08-27,Influenza A virus,Influenzavirussen,0
2023-09-03,Influenza A virus,Influenzavirussen,0
2023-09-10,Influenza A virus,Influenzavirussen,2
2023-09-17,Influenza A virus,Influenzavirussen,0
2023-09-24,Influenza A virus,Influenzavirussen,0
2023-10-01,Influenza A virus,Influenzavirussen,0
2023-10-08,Influenza A virus,Influenzavirussen,1
2023-10-15,Influenza A virus,Influenzavirussen,2
2023-10-22,Influenza A virus,Influenzavirussen,2
2023-10-29,Influenza A virus,Influenzavirussen,0
2023-11-05,Influenza A virus,Influenzavirussen,3
2023-11-12,Influenza A virus,Influenzavirussen,3
2023-11-19,Influenza A virus,Influenzavirussen,3
2023-11-26,Influenza A virus,Influenzavirussen,3
2023-12-03,Influenza A virus,Influenzavirussen,13
2023-12-10,Influenza A virus,Influenzavirussen,20
2023-12-17,Influenza A virus,Influenzavirussen,25
2023-12-24,Influenza A virus,Influenzavirussen,32
2023-12-31,Influenza A virus,Influenzavirussen,28
2024-01-07,Influenza A virus,Influenzavirussen,34
2024-01-14,Influenza A virus,Influenzavirussen,67
2024-01-21,Influenza A virus,Influenzavirussen,75
2024-01-28,Influenza A virus,Influenzavirussen,93
2024-02-04,Influenza A virus,Influenzavirussen,63
2024-02-11,Influenza A virus,Influenzavirussen,59
2024-02-18,Influenza A virus,Influenzavirussen,38
2024-02-25,Influenza A virus,Influenzavirussen,24
2024-03-03,Influenza A virus,Influenzavirussen,23
2024-03-10,Influenza A virus,Influenzavirussen,13
2024-03-17,Influenza A virus,Influenzavirussen,9
2024-03-24,Influenza A virus,Influenzavirussen,11
2024-03-31,Influenza A virus,Influenzavirussen,2
2024-04-07,Influenza A virus,Influenzavirussen,5
2024-04-14,Influenza A virus,Influenzavirussen,2
2024-04-21,Influenza A virus,Influenzavirussen,2
2024-04-28,Influenza A virus,Influenzavirussen,1
2024-05-05,Influenza A virus,Influenzavirussen,2
2024-05-12,Influenza A virus,Influenzavirussen,0
2024-05-19,Influenza A virus,Influenzavirussen,0
2024-05-26,Influenza A virus,Influenzavirussen,0
2024-06-02,Influenza A virus,Influenzavirussen,0
2024-06-09,Influenza A virus,Influenzavirussen,1
2024-06-16,Influenza A virus,Influenzavirussen,1
2024-06-23,Influenza A virus,Influenzavirussen,1
2024-06-30,Influenza A virus,Influenzavirussen,1
2024-07-07,Influenza A virus,Influenzavirussen,0
2024-07-14,Influenza A virus,Influenzavirussen,0
2024-07-21,Influenza A virus,Influenzavirussen,0
2024-07-28,Influenza A virus,Influenzavirussen,0
2024-08-04,Influenza A virus,Influenzavirussen,0
2024-08-11,Influenza A virus,Influenzavirussen,1
2024-08-18,Influenza A virus,Influenzavirussen,3
2024-08-25,Influenza A virus,Influenzavirussen,0
2024-09-01,Influenza A virus,Influenzavirussen,1
2024-09-08,Influenza A virus,Influenzavirussen,1
2024-09-15,Influenza A virus,Influenzavirussen,0
2024-09-22,Influenza A virus,Influenzavirussen,1
2024-09-29,Influenza A virus,Influenzavirussen,1
2024-10-06,Influenza A virus,Influenzavirussen,0
2024-10-13,Influenza A virus,Influenzavirussen,1
2024-10-20,Influenza A virus,Influenzavirussen,0
2024-10-27,Influenza A virus,Influenzavirussen,3
2024-11-03,Influenza A virus,Influenzavirussen,2
2024-11-10,Influenza A virus,Influenzavirussen,3
2024-11-17,Influenza A virus,Influenzavirussen,8
2024-11-24,Influenza A virus,Influenzavirussen,13
2024-12-01,Influenza A virus,Influenzavirussen,14
2024-12-08,Influenza A virus,Influenzavirussen,23
2024-12-15,Influenza A virus,Influenzavirussen,48
2024-12-22,Influenza A virus,Influenzavirussen,58
2024-12-29,Influenza A virus,Influenzavirussen,62
2025-01-05,Influenza A virus,Influenzavirussen,85
2025-01-12,Influenza A virus,Influenzavirussen,183
2025-01-19,Influenza A virus,Influenzavirussen,193
2025-01-26,Influenza A virus,Influenzavirussen,186
2025-02-02,Influenza A virus,Influenzavirussen,153
2025-02-09,Influenza A virus,Influenzavirussen,130
2025-02-16,Influenza A virus,Influenzavirussen,132
2025-02-23,Influenza A virus,Influenzavirussen,79
2025-03-02,Influenza A virus,Influenzavirussen,44
2025-03-09,Influenza A virus,Influenzavirussen,28
2025-03-16,Influenza A virus,Influenzavirussen,22
2025-03-23,Influenza A virus,Influenzavirussen,17
2025-03-30,Influenza A virus,Influenzavirussen,13
2025-04-06,Influenza A virus,Influenzavirussen,4
2025-04-13,Influenza A virus,Influenzavirussen,9
2025-04-20,Influenza A virus,Influenzavirussen,2
2025-04-27,Influenza A virus,Influenzavirussen,1
2025-05-04,Influenza A virus,Influenzavirussen,3
2025-05-11,Influenza A virus,Influenzavirussen,0
2025-05-18,Influenza A virus,Influenzavirussen,1
2025-05-25,Influenza A virus,Influenzavirussen,2
2025-06-01,Influenza A virus,Influenzavirussen,0
2025-06-08,Influenza A virus,Influenzavirussen,2
2025-06-15,Influenza A virus,Influenzavirussen,2
2025-06-22,Influenza A virus,Influenzavirussen,1
2025-06-29,Influenza A virus,Influenzavirussen,1
2025-07-06,Influenza A virus,Influenzavirussen,0
2025-07-13,Influenza A virus,Influenzavirussen,0
2025-07-20,Influenza A virus,Influenzavirussen,0
2025-07-27,Influenza A virus,Influenzavirussen,0
2025-08-03,Influenza A virus,Influenzavirussen,0
2025-08-10,Influenza A virus,Influenzavirussen,0
2025-08-17,Influenza A virus,Influenzavirussen,0
2025-08-24,Influenza A virus,Influenzavirussen,0
2025-08-31,Influenza A virus,Influenzavirussen,0
2025-09-07,Influenza A virus,Influenzavirussen,1
2025-09-14,Influenza A virus,Influenzavirussen,3
2025-09-21,Influenza A virus,Influenzavirussen,4
2025-09-28,Influenza A virus,Influenzavirussen,6
