accession,reference_length,covered_bases,reads_aligned,mean_coverage,RPKMF,sequence_name,taxid,kingdom,phylum,class,order,family,genus,species,subspecies,strain,sample_ID,total_filtered_reads_in_sample,reads_per_million,match,date_parsed,sample_type
NC_039477.1,7567,2664,158,3.261696,0.735209,"Norovirus GII, complete genome",122929,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,Norovirus,Norwalk virus,Norovirus GII,Norovirus GII,W162,28400284,5.563324648443657,16,2025-03-31,Wastewater
NC_039475.1,7556,5670,497,10.360113,2.31602,"Norovirus GII.17, complete genome",552592,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,Norovirus,Norwalk virus,Norovirus GII.17,Norovirus GII.17,W162,28400284,17.499825001749983,16,2025-03-31,Wastewater
KX868289.2,33676,33592,14492,65.04683,15.1525,"Human adenovirus 12 isolate GyK010, complete genome",28282,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus A,Human adenovirus 12,Human adenovirus 12,W162,28400284,510.2765873749713,16,2025-03-31,Wastewater
AM749299.1,33763,33756,20299,90.33008,21.1695,"Human adenovirus type 31 complete genome, serotype 31",10529,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus A,Human adenovirus 31,Human adenovirus 31,W162,28400284,714.746373663024,16,2025-03-31,Wastewater
MT505439.1,34777,1509,106,0.43445867,0.107323,"Human adenovirus 11 strain HAdV-B2/USA_GA/8348/2019/P11H11F12, complete genome",10541,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus B,Human adenovirus 11,Human adenovirus 11,W162,28400284,3.7323570426267567,16,2025-03-31,Wastewater
JN032132.1,34762,1598,72,0.32023576,0.0729298,"Human adenovirus 14 strain HAdV14-BJ430/CHN2010, complete genome",10521,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus B,Human adenovirus 14,Human adenovirus 14,W162,28400284,2.5351859157464762,16,2025-03-31,Wastewater
JN860680.1,35384,1666,58,0.23687348,0.0577163,"Human adenovirus 16 strain E26, complete genome",31544,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus B,Human adenovirus 16,Human adenovirus 16,W162,28400284,2.042233098795773,16,2025-03-31,Wastewater
MF502426.1,35341,5157,313,1.3579324,0.311848,"Human adenovirus 21 isolate OHT-006, complete genome",32608,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus B,Human adenovirus 21,Human adenovirus 21,W162,28400284,11.021016550397876,16,2025-03-31,Wastewater
KX384958.1,35250,9976,434,1.9092592,0.433519,"Human adenovirus B3 strain T382/Ft Jackson South Carolina USA/2002, complete genome",45659,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus B,Human adenovirus B3,Human adenovirus B3,W162,28400284,15.281537325471815,16,2025-03-31,Wastewater
MH355567.1,35217,3213,115,0.5004705,0.11498,"Human adenovirus 7 strain BJ/CHN/2018, complete genome",10519,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus B,Human adenovirus 7,Human adenovirus 7,W162,28400284,4.049255282095066,16,2025-03-31,Wastewater
AC_000017.1,36001,10301,537,2.154333,0.525215,"Human adenovirus type 1, complete genome",10533,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus C,Human adenovirus 1,Human adenovirus 1,W162,28400284,18.908261621609135,16,2025-03-31,Wastewater
AC_000007.1,35937,14516,712,2.9530556,0.697614,"Human adenovirus 2, complete genome",10515,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus C,Human adenovirus 2,Human adenovirus 2,W162,28400284,25.07017183349293,16,2025-03-31,Wastewater
AC_000008.1,35938,14683,768,3.210266,0.752462,"Human adenovirus 5, complete genome",28285,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus C,Human adenovirus 5,Human adenovirus 5,W162,28400284,27.04198310129575,16,2025-03-31,Wastewater
AB746853.1,34978,8556,861,3.70004,0.866733,"Human adenovirus 8 DNA, complete genome, strain: Trim variant",31545,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus D,Human adenovirus D8,Human adenovirus D8,W162,28400284,30.316598242468277,16,2025-03-31,Wastewater
JQ326209.1,35153,31270,15600,66.53824,15.6257,"Human adenovirus 19, complete genome",28278,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus D,Human adenovirus 19,Human adenovirus 19,W162,28400284,549.2902817450699,16,2025-03-31,Wastewater
AB448776.1,35215,27901,9028,38.26063,9.02695,"Human adenovirus 37 genomic DNA, complete genome, isolate: 1991",52275,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus D,Human adenovirus D37,Human adenovirus D37,W162,28400284,317.88414510221094,16,2025-03-31,Wastewater
NC_003266.2,35994,17871,1476,6.107075,1.44389,"Human adenovirus E, complete genome",130308,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus E,unclassified Human mastadenovirus E subspecies/strain,unclassified Human mastadenovirus E strain,W162,28400284,51.971311272802765,16,2025-03-31,Wastewater
NC_007455.1,5299,5299,1382,40.653526,9.18314,"Primate bocaparvovirus 1 isolate st2, complete genome",1511871,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Primate bocaparvovirus 1,unclassified Primate bocaparvovirus 1 subspecies/strain,unclassified Primate bocaparvovirus 1 strain,W162,28400284,48.661485216133755,16,2025-03-31,Wastewater
NC_012564.1,5242,5242,23798,684.314,159.853,"Human bocavirus 3, complete genome",638313,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Primate bocaparvovirus 1,Human bocavirus 3,Human bocavirus 3,W162,28400284,837.9493669852034,16,2025-03-31,Wastewater
NC_012042.1,5196,4212,5556,159.50851,37.6505,"Human bocavirus 2c PK isolate PK-5510, complete genome",1511882,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Primate bocaparvovirus 2,Human bocavirus 2c PK,Human bocavirus 2c PK,W162,28400284,195.63184649843643,16,2025-03-31,Wastewater
