accession	reference_length	covered_bases	reads_aligned	mean_coverage	RPKMF	sequence_name	taxid	kingdom	phylum	class	order	family	genus	species	subspecies	strain	sample_ID	total_filtered_reads_in_sample
NC_011507.2	18562	764	12	1.7257223	0.0227632	"Rotavirus A, all segments"	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	W162	28400284
NC_001803.1	15191	766	7	0.07087295	0.0162252	"Respiratory syncytial virus, complete genome"	12814	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Pneumoviridae	unclassified Pneumoviridae genus	Respiratory syncytial virus	unclassified Respiratory syncytial virus subspecies/strain	unclassified Respiratory syncytial virus strain	W162	28400284
NC_001781.1	15225	1097	11	0.11966833	0.0254397	"Human orthopneumovirus Subgroup B, complete genome"	11250	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Pneumoviridae	Orthopneumovirus	Human orthopneumovirus	unclassified Human orthopneumovirus subspecies/strain	unclassified Human orthopneumovirus strain	W162	28400284
NC_040876.1	7521	142	3	0.057794057	0.014045	"Norovirus GII.P7_GII.6, complete genome"	122929	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GII	Norovirus GII	W162	28400284
NC_039477.1	7567	2664	158	3.261696	0.735209	"Norovirus GII, complete genome"	122929	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GII	Norovirus GII	W162	28400284
NC_039475.1	7556	5670	497	10.360113	2.31602	"Norovirus GII.17, complete genome"	552592	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.17	Norovirus GII.17	W162	28400284
NC_039476.1	7536	220	7	0.15136746	0.0327065	"Norovirus GII.2 strain Env/CHN/2016/GII.P16-GII.2/BJSMQ, complete genome"	490039	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.2	Norovirus GII.2	W162	28400284
KX868289.2	33676	33592	14492	65.04683	15.1525	"Human adenovirus 12 isolate GyK010, complete genome"	28282	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus A	Human adenovirus 12	Human adenovirus 12	W162	28400284
AM749299.1	33763	33756	20299	90.33008	21.1695	"Human adenovirus type 31 complete genome, serotype 31"	10529	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus A	Human adenovirus 31	Human adenovirus 31	W162	28400284
MT505439.1	34777	1509	106	0.43445867	0.107323	"Human adenovirus 11 strain HAdV-B2/USA_GA/8348/2019/P11H11F12, complete genome"	10541	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	Human adenovirus 11	Human adenovirus 11	W162	28400284
JN032132.1	34762	1598	72	0.32023576	0.0729298	"Human adenovirus 14 strain HAdV14-BJ430/CHN2010, complete genome"	10521	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	Human adenovirus 14	Human adenovirus 14	W162	28400284
JN860680.1	35384	1666	58	0.23687348	0.0577163	"Human adenovirus 16 strain E26, complete genome"	31544	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	Human adenovirus 16	Human adenovirus 16	W162	28400284
MF502426.1	35341	5157	313	1.3579324	0.311848	"Human adenovirus 21 isolate OHT-006, complete genome"	32608	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	Human adenovirus 21	Human adenovirus 21	W162	28400284
KX384958.1	35250	9976	434	1.9092592	0.433519	"Human adenovirus B3 strain T382/Ft Jackson South Carolina USA/2002, complete genome"	45659	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	Human adenovirus B3	Human adenovirus B3	W162	28400284
